Category,Name of cocktail,Type,Picture,,Base Spirit,Served,Garnish,Drinkware,Ingredients,Preparation,Commonly Served
Unforgettables,The Last Word,IBA official cocktail,//upload.wikimedia.org/wikipedia/commons/thumb/4/43/The_Last_Word_cocktail_raised.jpg/250px-The_Last_Word_cocktail_raised.jpg,,"
Gin
green Chartreuse
","Straight up: chilled, without ice", Cocktail glass,"
22.5 ml gin
22.5 ml green Chartreuse
22.5 ml maraschino Luxardo
22.5 ml fresh lime juice
",Add all ingredients into a cocktail shaker. Shake with ice and strain into a chilled cocktail glass.,† The Last Word recipe at International Bartenders Association,
Unforgettables,Manhattan,IBA official cocktail,//upload.wikimedia.org/wikipedia/commons/thumb/d/de/Manhattan_Cocktail2.jpg/250px-Manhattan_Cocktail2.jpg,,"
Whiskey
","Straight up: chilled, without ice",Maraschino cherry, Cocktail glass,"
50 ml Rye whiskey
20 ml Sweet red vermouth
1 dash Angostura bitters
",Pour all ingredients into mixing glass with ice cubes. Stir well. Strain into a chilled cocktail glass.,Before dinner
Unforgettables,Martinez,IBA official cocktail,//upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Martinez_Cocktail.jpg/250px-Martinez_Cocktail.jpg,,"
Gin
","Straight up: chilled, without ice",lemon zest, Cocktail glass,"
45 ml London Dry Gin
45 ml Sweet Red Vermouth
1 Bar Spoon Maraschino Liqueur
2 Dashes Orange Bitters
","Stirred over ice, strained into a chilled glass, garnished, and served up.",† Martinez recipe at International Bartenders Association
Unforgettables,Mary Pickford,IBA official cocktail,//upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Mary_Pickford_Cocktail.jpg/250px-Mary_Pickford_Cocktail.jpg,,"
Rum
","Straight up: chilled, without ice", Cocktail glass,"
4.5 cl white rum
4.5 cl fresh pineapple juice
0.5 cl Grenadine
0.75 cl Maraschino
",Shake and strain into a chilled large cocktail glass,All Day,† Mary Pickford recipe at International Bartenders Association
Unforgettables,Monkey Gland,IBA official cocktail,//upload.wikimedia.org/wikipedia/commons/thumb/5/58/Monkey_Gland_%2811677703163%29.jpg/250px-Monkey_Gland_%2811677703163%29.jpg,,"
Gin
","Straight up: chilled, without ice", Cocktail glass,"
45 ml gin
45 ml orange juice
1 tablespoon absinthe
1 tablespoon grenadine
","Pour all ingredients into a cocktail shaker, shake well with ice, strain into a chilled cocktail glass.",All Day,† Monkey Gland recipe at International Bartenders Association
Unforgettables,Negroni,IBA official cocktail,//upload.wikimedia.org/wikipedia/commons/thumb/e/ea/C%C3%B3ctel_Negroni_Campari.jpg/250px-C%C3%B3ctel_Negroni_Campari.jpg,,"
Gin
Vermouth
Campari
",On the rocks: poured over ice,Orange slice, Old fashioned glass,"
30 mL gin
30 mL sweet red vermouth
30 mL Campari
","Build in glass over ice, garnish and serve.",Before dinner
Unforgettables,Old fashioned,IBA official cocktail,//upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Whiskey_Old_Fashioned1.jpg/250px-Whiskey_Old_Fashioned1.jpg,,"
Whiskey
",On the rocks: poured over ice,"Orange slice or zest, and cocktail cherry", Old fashioned glass,"
45 ml bourbon or rye whiskey
1 sugar cube
Few dashes Angostura bitters
Few dashes plain water
","Place sugar cube in old fashioned glass and saturate with bitter, add few dashes of plain water. Muddle until dissolved. Fill the glass with ice cubes and add whiskey. Stir gently. Garnish with orange slice or zest, and a cocktail cherry.",Before dinner
Unforgettables,Paradise,IBA official cocktail,//upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Paradise_cocktail.jpg/250px-Paradise_cocktail.jpg,,"
Gin
","Straight up: chilled, without ice", Cocktail glass,"
3.5 cl (7 parts) gin
2 cl (4 parts) apricot brandy
1.5 cl (3 parts) orange juice
",Shake together over ice.  Strain into cocktail glass and serve chilled.,All Day,† Paradise recipe at International Bartenders Association
Unforgettables,Planter's punch,IBA official cocktail,//upload.wikimedia.org/wikipedia/commons/thumb/1/10/Planters_Punch_2.jpg/250px-Planters_Punch_2.jpg,,"
Rum
",orange zest, Beverage glass,"
45 ml Jamaican rum
15 ml lime juice
30 ml sugar cane juice
",Pour all ingredients directly in a small tumbler or a typical terracotta glass.,"Add dilution up to taste, it can be given by water, ice or fresh juices.",† Planter's punch recipe at International Bartenders Association
Unforgettables,Porto Flip,IBA official cocktail,//upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Porto_Flip.jpg/250px-Porto_Flip.jpg,,"
Port
","Straight up: chilled, without ice",Grated nutmeg, Cocktail glass,"
1.5 cl (3 parts) brandy
4.5 cl (9 parts) port
1 cl (2 parts) egg yolk
","Shake ingredients together in a mixer with ice.  Strain into glass, garnish and serve",After Dinner
Unforgettables,Fizz,Cocktail,//upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Gin_Fizz_en_El_Bulli.jpg/250px-Gin_Fizz_en_El_Bulli.jpg,,"
Gin
Whiskey
Rum
",,,,,,
Unforgettables,Rusty nail,IBA official cocktail,//upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Rusty_Nail_a_cocktail_by_%40tokenchick13_%2816503594826%29.jpg/250px-Rusty_Nail_a_cocktail_by_%40tokenchick13_%2816503594826%29.jpg,,"
Scotch whisky
Drambuie
",On the rocks: poured over ice,Orange peel (optional)[a], Old fashioned glass,45 ml Scotch whisky25 ml Drambuie,Pour all ingredients directly into an old fashioned glass filled with ice. Stir gently.,After dinner
Unforgettables,Sazerac,IBA official cocktail,//upload.wikimedia.org/wikipedia/commons/thumb/d/dd/SazeracRooseveltNOLA1July2009.JPG/250px-SazeracRooseveltNOLA1July2009.JPG,,"
Cognac
","Straight up: chilled, without ice",lemon zest, Old fashioned glass,"
50 ml cognac
10 ml absinthe
One sugar cube
Two dashes Peychaud's Bitters
","Rinse a chilled old-fashioned glass with the absinthe, add crushed ice and set it aside. Stir the remaining ingredients over ice in a mixing glass. Discard the ice and any excess absinthe from the prepared glass, strain the mixed drink into the glass.",After dinner
Unforgettables,Sidecar,IBA official cocktail,//upload.wikimedia.org/wikipedia/commons/thumb/9/94/Sidecar-cocktail.jpg/250px-Sidecar-cocktail.jpg,,"
Cognac
","Straight up: chilled, without ice", Cocktail glass,"
50 ml cognac
20 ml triple sec
20 ml fresh lemon juice
","Pour all ingredients into a cocktail shaker, shake well with ice, strain into a chilled cocktail glass.",All Day,† Sidecar recipe at International Bartenders Association
Unforgettables,Stinger,IBA official cocktail,//upload.wikimedia.org/wikipedia/commons/thumb/2/27/Stinger_Cocktail.jpg/250px-Stinger_Cocktail.jpg,,"
Cognac
","Straight up: chilled, without ice",Optional mint leave  [sic], Cocktail glass,"
50 ml cognac
20 ml white crème de menthe
",Pour all ingredients into mixing glass with ice cubes. Stir well. Strain into chilled martini cocktail glass.,After Dinner (Before Dinner)
Unforgettables,Tuxedo,IBA official cocktail,,,"Straight up: chilled, without ice","cherry, lemon zest", Cocktail glass,"
3 cl gin (Old Tom)
3 cl dry Vermouth
1/2 barspoon Maraschino
1/4 barspoon Absinthe
3 dashes orange bitters
",Stir all ingredients with ice and strain into a cocktail glass.  Garnish with a cherry and a twist of lemon zest.,All Day,† Tuxedo recipe at International Bartenders Association
Unforgettables,Vieux Carré,IBA official cocktail,//upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Vieux_Carre_Cocktail.jpg/250px-Vieux_Carre_Cocktail.jpg,,"
Rye whiskey
Cognac
","Straight up: chilled, without ice",Orange zest and maraschino cherry, Cocktail glass,"
30 ml rye whiskey
30 ml cognac
30 ml sweet vermouth
1 bar spoon Bénédictine
2 dashes Peychaud's bitters
",Pour all ingredients into mixing glass with ice cubes. Stir well. Strain into a chilled cocktail glass.,† Vieux Carré recipe at International Bartenders Association
Unforgettables,Whiskey sour,IBA official cocktail,//upload.wikimedia.org/wikipedia/commons/thumb/5/59/Whiskey_Sour.jpg/250px-Whiskey_Sour.jpg,,"
Whiskey
",On the rocks or straight up,Maraschino cherry and half orange slice, Old fashioned glass,"
4.5 cl (3 parts) bourbon whiskey
3 cl (2 parts) fresh lemon juice
1.5 cl (1 part) simple syrup
","Shake with ice. Strain into chilled glass, garnish and serve.",Before dinner
Unforgettables,White lady,IBA official cocktail,//upload.wikimedia.org/wikipedia/commons/thumb/d/da/White_Lady_-_Beefeater_gin%2C_Cointreau%2C_fresh_lemon_juice_%2812403540403%29.jpg/250px-White_Lady_-_Beefeater_gin%2C_Cointreau%2C_fresh_lemon_juice_%2812403540403%29.jpg,,"
Gin
","Straight up: chilled, without ice", Cocktail glass,"
4 cl gin
3 cl Triple Sec
2 cl lemon juice
",Add all ingredients into cocktail shaker filled with ice. Shake well and strain into large cocktail glass.,All Day,This cocktail is a variant of the Sidecar
Contemporary Classics,Bellini,IBA official cocktail,//upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Bellini_Cipriani%2C_Macaroni_Grill%2C_Dunwoody_GA.jpg/250px-Bellini_Cipriani%2C_Macaroni_Grill%2C_Dunwoody_GA.jpg,,"
Prosecco
","Straight up: chilled, without ice", Champagne flute,"
10 cl (2 parts) Prosecco
5 cl (1 part) fresh peach purée
","Pour peach purée into chilled glass, add sparkling wine. Stir gently.",Traditionally a Bellini uses white peaches for the fruit.,† Bellini recipe at International Bartenders Association
Contemporary Classics,Black Russian,IBA official cocktail,//upload.wikimedia.org/wikipedia/commons/thumb/9/91/Black_Russian.jpg/250px-Black_Russian.jpg,,"
Vodka
",On the rocks: poured over ice, Old fashioned glass,"
50 ml Vodka
20 ml Coffee liqueur
",Pour the ingredients into the old fashioned glass filled with ice cubes. Stir gently.,After dinner,† Black Russian recipe at International Bartenders Association
Contemporary Classics,Bloody Mary,IBA official cocktail,//upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Bloody_Mary_Coctail_with_celery_stalk_-_Evan_Swigart.jpg/250px-Bloody_Mary_Coctail_with_celery_stalk_-_Evan_Swigart.jpg,,"
Vodka
",On the rocks: poured over ice,Celery and lemon wedge (optional), Rocks glass,"
45 ml vodka
90 ml tomato juice
15 ml fresh lemon juice
2 dashes of Worcestershire Sauce
Tabasco sauce
Celery salt
Black pepper
","Stir gently all the ingredients in a mixing glass with ice, pour into rocks glass.","If requested served with ice, pour into highball glass."
Contemporary Classics,Caipirinha,IBA official cocktail,//upload.wikimedia.org/wikipedia/commons/thumb/0/01/Caipirinha_with_lime.jpg/250px-Caipirinha_with_lime.jpg,,"
Cachaça
",On the rocks: poured over ice,"sugarcane, lime (ingredient)", Old fashioned glass,"
60 ml cachaça
1 lime cut into small wedges
4 teaspoons white cane sugar
",Place lime and sugar into a double old fashioned glass and muddle gently. Fill the glass with cracked ice and add Cachaça. Stir gently to involve ingredients.,Caipiroska – instead of cachaça use vodka
Contemporary Classics,Champagne Cocktail,IBA official cocktail,//upload.wikimedia.org/wikipedia/commons/thumb/9/96/Champagne_cocktail_-_Portal%2C_Clerkenwell%2C_London_%284356768748%29_%28cropped%29.jpg/250px-Champagne_cocktail_-_Portal%2C_Clerkenwell%2C_London_%284356768748%29_%28cropped%29.jpg,,"
Champagne
","Straight up: chilled, without ice",Orange slice and maraschino cherry, Champagne flute,"
9cl Champagne
1cl Cognac
2 dashes Angostura bitters
1 Sugar cube
",Add dash of Angostura bitter onto sugar cube and drop it into champagne flute. Add cognac followed by gently pouring chilled champagne. Garnish with orange slice and maraschino cherry.,† Champagne Cocktail recipe at International Bartenders Association
Contemporary Classics,Corpse reviver #1,Cocktail,,,"Straight up: chilled, without ice", Cocktail glass,"
2 parts cognac
1 part apple brandy or Calvados
1 part sweet vermouth
",Shake well and strain into cocktail glass.[8],,,
Contemporary Classics,Cosmopolitan,IBA official cocktail,//upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Cosmopolitan_%285076906532%29.jpg/250px-Cosmopolitan_%285076906532%29.jpg,,"
Vodka
","Straight up: chilled, without ice",lime slice, Cosmopolitan or cocktail glass,"
40 ml Vodka Citron
15 ml Cointreau
15 ml Fresh lime juice
30 ml cranberry juice
",Shake all ingredients in cocktail shaker filled with ice. Strain into a large cocktail glass. Garnish with lime slice.,All day
Contemporary Classics,Cuba libre,IBA official cocktail,//upload.wikimedia.org/wikipedia/commons/thumb/5/5d/15-09-26-RalfR-WLC-0056.jpg/250px-15-09-26-RalfR-WLC-0056.jpg,,"
Rum
",On the rocks: poured over ice,Lime wedge, Highball glass,"
120 ml cola
50 ml white rum
10 ml Fresh lime juice
",Build all ingredients in a highball glass filled with ice. Garnish with lime wedge.,† Cuba libre recipe at International Bartenders Association
Contemporary Classics,French 75,IBA official cocktail,//upload.wikimedia.org/wikipedia/commons/thumb/0/0b/French_75.jpg/250px-French_75.jpg,,"
Champagne
","Straight up: chilled, without ice", Champagne flute,"
30 mL (1 US fl oz) gin
15 mL (0.5 US fl oz) lemon juice
15 mL (0.5 US fl oz) simple syrup
60 mL (2 US fl oz) Champagne
","Pour all the ingredients, except Champagne, into a shaker. Shake well and strain into a Champagne flute. Top up with Champagne. Stir gently.",† French 75 recipe at International Bartenders Association,
Contemporary Classics,French Connection,IBA official cocktail,//upload.wikimedia.org/wikipedia/commons/thumb/6/64/French_Connection_%28cocktail%29.jpg/250px-French_Connection_%28cocktail%29.jpg,,"
Cognac
Amaretto
",On the rocks: poured over ice, Old fashioned glass,"
3.5cl Cognac
3.5cl Amaretto liqueur
",Pour all ingredients directly into old fashioned glass filled with ice cubes. Stir gently.,After dinner,† French Connection recipe at International Bartenders Association
Contemporary Classics,Golden dream,IBA official cocktail,//upload.wikimedia.org/wikipedia/commons/thumb/1/15/Godlen-Dream_Mixed_Drink_Cocktail_%282360538105%29.jpg/250px-Godlen-Dream_Mixed_Drink_Cocktail_%282360538105%29.jpg,,"
Orange-flavored liqueur
Galliano
","Straight up: chilled, without ice", Cocktail glass,"
2 cl (2 parts) Galliano
2 cl (2 parts) Triple Sec
2 cl (2 parts) Fresh orange juice
1 cl (1 part) Fresh cream
",Shake with cracked ice.  Strain into glass and serve.,After dinner,Should be quite fluffy
Contemporary Classics,Grasshopper,IBA official cocktail,//upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Grasshopper_cocktail.jpg/250px-Grasshopper_cocktail.jpg,,"
Crème de cacao
Crème de menthe
","Straight up: chilled, without ice", Cocktail glass,"
3 cl crème de menthe (green)
3 cl crème de cacao (white)
3 cl cream
",Pour ingredients into a cocktail shaker with ice. Shake briskly and then strain into a chilled cocktail glass.,After dinner,† Grasshopper recipe at International Bartenders Association
Contemporary Classics,Hemingway Special,IBA official cocktail,//upload.wikimedia.org/wikipedia/commons/thumb/2/22/Hemingway_Daiquiri.jpg/250px-Hemingway_Daiquiri.jpg,,"
Rum
","Straight up: chilled, without ice", Cocktail glass,"
6 cl (12 parts) Rum
4 cl (8 parts) grapefruit juice
1.5 cl (3 parts) Maraschino liqueur
1.5 cl (3 parts) fresh lime juice
",Pour all ingredients into a shaker with ice. Shake.,All day,† Hemingway Special recipe at International Bartenders Association
Contemporary Classics,Horse's neck,IBA official cocktail,//upload.wikimedia.org/wikipedia/commons/thumb/5/54/16-09-17-WikiLovesCocktails-Drink-Img0266_1.jpg/250px-16-09-17-WikiLovesCocktails-Drink-Img0266_1.jpg,,"
Brandy
",On the rocks: poured over ice,Long spiral of lemon zest, Highball glass,"
4 cL (1 part) Brandy
12 cL (3 parts) Ginger ale
Dash of Angostura bitter (optional)
","Pour brandy and ginger ale directly into highball glass with ice cubes. Stir gently. Garnish with lemon zest. If desired, add dashes of Angostura Bitter.",† Horse's neck recipe at International Bartenders Association
Contemporary Classics,Irish Coffee,IBA official cocktail,//upload.wikimedia.org/wikipedia/commons/thumb/6/61/Irish_coffee_glass.jpg/250px-Irish_coffee_glass.jpg,,"
Irish whiskey
",Hot, Irish coffee mug,"
50 mL Irish whiskey
120 mL hot coffee
50 mL fresh cream (chilled)
1 tsp sugar
","Pour the coffee into a preheated glass, add whiskey and sugar, and stir until dissolved. Pour cream slowly to form a distinct layer.",† Irish Coffee recipe at International Bartenders Association,
Contemporary Classics,Kir,IBA official cocktail,//upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Kir_cocktail.jpg/250px-Kir_cocktail.jpg,,"
Wine
","Straight up: chilled, without ice", Wine glass (white),"
9 cl (9 parts) white wine
1 cl (1 part) crème de cassis
","Add the crème de cassis to the bottom of the glass, then top up with wine.",Before Dinner,A recipe can be found at the International Bartenders Association website.
Contemporary Classics,Long Island Iced Tea,IBA official cocktail,//upload.wikimedia.org/wikipedia/commons/thumb/4/45/Long_Island_Iced_Teas.jpg/250px-Long_Island_Iced_Teas.jpg,,"
Gin
Tequila
Vodka
Rum
",On the rocks: poured over ice,lemon slice (optional), Highball glass,"
15 ml Tequila
15 ml Vodka
15 ml White rum
15 ml Cointreau
15 ml Gin
30 ml Lemon juice
20 ml simple syrup
Top with Cola
",Add all ingredients into highball glass filled with ice. Stir gently. Optionally garnish with lemon slice.[1],† Long Island Iced Tea recipe at International Bartenders Association
Contemporary Classics,Mai Tai,IBA official cocktail,//upload.wikimedia.org/wikipedia/commons/thumb/7/74/Mai_Tai_Trader_Vics_Emeryville.jpg/250px-Mai_Tai_Trader_Vics_Emeryville.jpg,,"
Rum
",shaved or crushed ice,"pineapple spear, mint leaves, and lime peel", Old fashioned glass,"
30 ml amber Jamaican rum
30 ml Martinique molasses rhum
15 ml orange curaçao
15 ml orgeat syrup (almond)
30 ml fresh lime juice
7.5 ml simple syrup
",Add all ingredients into a shaker with ice. Shake and pour into a double rocks glass or a highball glass.,"The Martinique molasses rum used by Trader Vic was not an Agricole rum but a type of ""rummy"" from molasses."
Contemporary Classics,Margarita,IBA official cocktail,//upload.wikimedia.org/wikipedia/commons/thumb/3/37/MargaritaReal.jpg/250px-MargaritaReal.jpg,,"
Tequila
","Rocks, straight up, frozen",Half salt rim (optional), Margarita glass,"
50 ml tequila 100% agave
20 ml triple sec
15 ml freshly squeezed lime juice
",Add all ingredients into a shaker with ice. Shake and strain into a chilled cocktail glass.,† Margarita recipe at International Bartenders Association
Contemporary Classics,Mimosa,IBA official cocktail,//upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Pool-side_Mimosas_at_The_Standard_Hotel.jpg/250px-Pool-side_Mimosas_at_The_Standard_Hotel.jpg,,"
Champagne
","Straight up: chilled, without ice",Orange twist, Champagne flute,"
7.5 cl champagne
7.5 cl orange juice
","Ensure both ingredients are well chilled, then mix into the glass. Serve cold.",† Mimosa recipe at International Bartenders Association
Contemporary Classics,Mint julep,IBA official cocktail,//upload.wikimedia.org/wikipedia/commons/thumb/5/55/Mint_Julep_im_Silberbecher.jpg/250px-Mint_Julep_im_Silberbecher.jpg,,"
Bourbon whiskey
",On the rocks: poured over ice,Mint sprig,Julep stainless steel cup,"
60 mL (2.0 US fl oz) bourbon whiskey
4 mint sprigs
1 teaspoon powdered sugar
2 teaspoons water
","In Julep Stainless Steel Cup gently muddle the mint with sugar and water. Fill the glass with cracked ice, add the Bourbon and stir well until the cup frosts.",† Mint julep recipe at International Bartenders Association
Contemporary Classics,Mojito,IBA official cocktail,//upload.wikimedia.org/wikipedia/commons/thumb/5/54/15-09-26-RalfR-WLC-0072.jpg/250px-15-09-26-RalfR-WLC-0072.jpg,,"
Rum
",On the rocks: poured over ice,sprigs of mint or slice of lime, Collins glass,"
45 ml white rum
20 ml fresh lime juice
6 sprigs of mint
2 teaspoons white cane sugar (or 2 cl of sugar syrup)
Soda water
",Mix mint sprigs with sugar and lime juice. Add splash of soda water and fill the glass with ice. Pour the rum and top with soda water. Light stir to involve all ingredients.,† Mojito recipe at International Bartenders Association
Contemporary Classics,Moscow mule,IBA official cocktail,//upload.wikimedia.org/wikipedia/commons/thumb/8/89/Cocktail_Moscow_Mule_im_Kupferbecher_mit_Minze.jpg/250px-Cocktail_Moscow_Mule_im_Kupferbecher_mit_Minze.jpg,,"
Vodka
",On the rocks: poured over ice,Lime Slice,copper mug,"
4.5 cl (9 parts) vodka
1 cl (2 parts) lime juice
12 cl (24 parts) ginger beer
",Combine vodka and ginger beer in a highball glass filled with ice. Add lime juice. Stir gently. Garnish.,† Moscow mule recipe at International Bartenders Association
Contemporary Classics,Piña Colada,IBA official cocktail,//upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Pi%C3%B1a_Colada.jpg/250px-Pi%C3%B1a_Colada.jpg,,"
Rum
",Frozen: blended with ice,slice of pineapple with a cocktail cherry, Poco Grande glass,"
50 ml white rum
30 ml coconut cream
50 ml fresh pineapple juice
","Blend all the ingredients with ice in an electric blender, pour into a large glass, and serve with straws.",Historically a few drops of fresh lime juice or bitters were added to taste. 4 slices of fresh pineapple can be used instead of juice
Contemporary Classics,Pisco sour,IBA official cocktail,//upload.wikimedia.org/wikipedia/commons/thumb/2/27/Pisco_sour_20100613b.JPG/250px-Pisco_sour_20100613b.JPG,,"
Pisco
","Straight up: chilled, without ice",Few dashes of Amargo bitters on top as an aromatic garnish, Goblet,"
60 ml Pisco
30 ml fresh lemon juice
20 ml simple syrup
1 raw egg white
",Add all ingredients into a shaker with ice. Shake and strain into a chilled goblet glass.,All day
